Date,Open,High,Low,Close,Volume
31-May-11,134.78,134.92,133.84,134.89,35984098
27-May-11,-,-,-,133.54,0
26-May-11,132.00,133.23,131.78,133.01,33733520
25-May-11,131.38,132.94,131.38,132.37,28638927
24-May-11,132.42,132.73,131.70,131.95,30909405
23-May-11,131.99,132.46,131.59,132.04,36661220
20-May-11,134.31,134.52,133.36,133.67,36056988
19-May-11,134.79,135.02,133.94,134.66,22525820
18-May-11,133.26,134.50,132.95,134.38,25317362
17-May-11,132.70,133.35,132.12,133.17,38035702
16-May-11,133.54,134.61,132.97,133.19,32100444
13-May-11,135.17,135.34,133.57,134.04,35020855
12-May-11,134.07,135.36,133.40,135.10,35584467
11-May-11,135.64,135.68,133.82,134.45,33239071
10-May-11,135.15,136.11,135.01,135.87,24203196
9-May-11,134.20,135.11,133.98,134.72,24822446
6-May-11,134.88,135.62,133.68,134.20,46857613
5-May-11,134.09,134.94,133.02,133.63,40893236
4-May-11,135.70,135.73,134.23,134.86,33406376
3-May-11,135.94,136.18,135.04,135.71,26996370
2-May-11,137.10,137.17,135.95,136.25,22871971
29-Apr-11,136.14,136.57,135.98,136.54,20677005
28-Apr-11,135.42,136.29,135.41,136.04,25481373
27-Apr-11,135.05,135.87,134.50,135.63,27488924
26-Apr-11,134.05,135.06,133.91,134.79,24832710
25-Apr-11,133.66,133.85,133.20,133.62,13979197
21-Apr-11,-,-,-,133.74,0
20-Apr-11,132.88,133.39,132.80,133.16,29889358
19-Apr-11,130.75,131.35,130.44,131.28,25527881
18-Apr-11,130.53,130.80,129.51,130.53,42399577
15-Apr-11,131.78,132.37,131.41,132.12,33790732
14-Apr-11,130.69,131.76,130.27,131.56,34872821
13-Apr-11,132.09,132.18,130.97,131.45,28355303
12-Apr-11,131.71,131.98,130.99,131.45,30741486
11-Apr-11,133.01,133.44,132.14,132.47,24849999
8-Apr-11,133.88,133.99,132.32,132.86,29003065
7-Apr-11,133.39,133.93,132.67,133.32,34344617
6-Apr-11,133.85,134.00,133.12,133.66,23931173
5-Apr-11,132.95,133.83,132.94,133.24,22176452
4-Apr-11,133.48,133.66,132.88,133.24,20976108
1-Apr-11,133.45,133.76,132.83,133.15,30779148
31-Mar-11,132.63,132.96,132.46,132.51,27226688
30-Mar-11,132.58,133.15,132.37,132.70,24243176
29-Mar-11,130.89,131.90,130.45,131.86,24306331
28-Mar-11,131.57,131.92,130.94,130.94,22090103
25-Mar-11,131.22,131.86,130.95,131.29,23528386
24-Mar-11,130.46,131.08,129.68,130.90,33519480
23-Mar-11,128.96,130.00,128.33,129.64,31166222
22-Mar-11,129.76,129.89,129.18,129.30,25004548
21-Mar-11,129.41,130.01,129.20,129.74,33507325
18-Mar-11,128.84,128.87,127.51,127.76,45916019
17-Mar-11,128.01,128.39,127.10,127.85,44314644
16-Mar-11,128.18,128.57,125.28,126.21,89625830
15-Mar-11,126.70,129.32,126.51,128.56,70860435
14-Mar-11,130.03,130.48,129.07,130.05,52323424
11-Mar-11,129.49,131.31,129.49,130.84,50585246
10-Mar-11,131.04,131.04,129.81,129.93,63399641
9-Mar-11,132.34,132.79,131.60,132.39,31785760
8-Mar-11,131.67,132.99,131.07,132.56,36563947
7-Mar-11,132.80,133.15,130.74,131.37,38124392
4-Mar-11,133.37,133.47,131.60,132.47,53924527
3-Mar-11,132.39,133.62,132.39,133.47,33784072
2-Mar-11,130.79,131.81,130.60,131.16,46020707
1-Mar-11,133.68,133.68,130.89,130.89,48377722
28-Feb-11,132.84,133.32,132.38,133.15,30339531
25-Feb-11,131.47,132.41,131.41,132.32,28752739
24-Feb-11,130.86,131.44,129.70,130.92,50875335
23-Feb-11,131.72,132.07,130.21,131.01,52179204
22-Feb-11,133.11,133.86,131.48,131.80,48257050
18-Feb-11,-,-,-,134.57,0
17-Feb-11,133.43,134.43,133.34,134.22,23248504
16-Feb-11,133.47,134.01,133.19,133.82,26386036
15-Feb-11,133.05,133.22,132.66,133.04,21560577
14-Feb-11,133.07,133.54,132.89,133.43,20967255
11-Feb-11,131.80,133.28,131.77,133.15,27395996
10-Feb-11,131.61,132.46,131.30,132.33,36606250
9-Feb-11,132.20,132.63,131.62,132.32,32233046
8-Feb-11,132.13,132.64,131.73,132.59,22787018
7-Feb-11,131.44,132.40,131.44,132.00,21707662
4-Feb-11,130.85,131.20,130.23,131.17,27291113
3-Feb-11,130.27,130.98,129.58,130.76,31138289
2-Feb-11,130.46,130.84,130.33,130.48,23406221
1-Feb-11,129.46,130.97,129.38,130.74,167194214
31-Jan-11,128.07,128.78,127.75,128.68,149249105
28-Jan-11,130.14,130.35,127.51,127.72,295637223
27-Jan-11,129.70,130.21,129.47,129.99,123302633
26-Jan-11,129.49,130.05,129.23,129.67,141281439
25-Jan-11,128.76,129.28,128.11,129.17,167552153
24-Jan-11,128.28,129.25,128.26,129.10,113715455
21-Jan-11,128.88,129.17,128.23,128.37,151462880
20-Jan-11,127.96,128.40,127.13,128.08,175745603
19-Jan-11,129.41,129.54,127.91,128.25,151958324
18-Jan-11,129.18,129.64,129.03,129.52,114401252
14-Jan-11,-,-,-,129.30,0
13-Jan-11,128.63,128.69,128.05,128.37,129229132
12-Jan-11,128.21,128.72,127.46,128.58,107929135
11-Jan-11,127.44,127.74,126.95,127.43,110286968
10-Jan-11,126.58,127.16,126.20,126.98,122401644
7-Jan-11,127.56,127.77,126.15,127.14,156034587
6-Jan-11,127.69,127.83,127.01,127.39,122518970
5-Jan-11,126.58,127.72,126.46,127.64,133975250
4-Jan-11,127.33,127.37,126.19,126.98,137409675
3-Jan-11,126.71,127.60,125.70,127.05,138725191
